"Timestamp","Warst du im Theo-Vorkurs?","Falls nein: Warum nicht?","Falls nein: Hättest du ihn im Nachhinein gerne besucht?","Die Vorlesung ist für mich verständlich.","Der Vorkurs hat mir geholfen, den Stoff der Vorlesung besser zu verstehen.","Ich bearbeite die Übungsblätter.","Übungsblätter: Ich versuche ca. X% der Aufgaben sinnvoll zu bearbeiten.","Diese Themen aus dem Vorkurs hätte ich gerne ausführlicher behandelt gehabt.","Diese Themen aus der Vorlesung bereiten mir aktuell Schwierigkeiten:","Diese Themen aus der Vorlesung hätte ich mir noch im Vorkurs gewünscht:","Weitere Anmerkungen:"
"2018/11/08 4:37:30 PM MEZ","Ja","","","5","3","Nein, keine Lust","0 bis 25","Beweistechniken","","",""
"2018/11/08 4:38:05 PM MEZ","Nein","Keine Zeit","Ja oder eher ja","3","","Teils, teils","50 bis 75","","","",""
"2018/11/08 4:38:08 PM MEZ","Einzelne Tage","","","2","1","Teils, teils","50 bis 75","Beweistechniken","-","-",""
"2018/11/08 4:38:08 PM MEZ","Nein","Urlaub","Ja oder eher ja","5","","Teils, teils","50 bis 75","","Alle ","",""
"2018/11/08 4:38:33 PM MEZ","Ja","","","2","1","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken","","",""
"2018/11/08 4:38:44 PM MEZ","Ja","","Ja oder eher ja","3","4","Nein, keine Zeit","75 bis 100","Beweistechniken;Induktion;Reguläre Ausdrücke","Alles","Alles",""
"2018/11/08 4:38:45 PM MEZ","Ja","","","1","1","Ja, gewissenhaft","75 bis 100","","","",""
"2018/11/08 4:38:57 PM MEZ","Nein","Gearbeitet ","Ja oder eher ja","4","","Teils, teils","25 bis 50","","Beweisen","",""
"2018/11/08 4:39:00 PM MEZ","Nein","Keine zeit","Nein oder eher nein","2","","Teils, teils","75 bis 100","","","",""
"2018/11/08 4:39:04 PM MEZ","Ja","","","4","1","Ja, gewissenhaft","75 bis 100","","Hertrampf","Hertrampf Memes",""
"2018/11/08 4:39:09 PM MEZ","Ja","","","5","4","Teils, teils","25 bis 50","Grammatiken;Automaten","","",""
"2018/11/08 4:39:11 PM MEZ","Einzelne Tage","","","2","2","Nein, keine Lust","0 bis 25","Mengen;Beweistechniken;Mengenbeweise","","","Das ist das Haus vom Nikolaus."
"2018/11/08 4:39:21 PM MEZ","Ja","","","3","1","Teils, teils","75 bis 100","Beweistechniken;Mengenbeweise;Induktion","","",""
"2018/11/08 4:39:21 PM MEZ","Ja","","","1","1","Teils, teils","75 bis 100","","","",""
"2018/11/08 4:39:23 PM MEZ","Ja","","","4","2","Ja, aber ich gebe die Blätter nicht ab","25 bis 50","Beweistechniken;Mengenbeweise","","",""
"2018/11/08 4:39:27 PM MEZ","Ja","","","2","2","Teils, teils","50 bis 75","Induktion;Grammatiken;Reguläre Ausdrücke","","",""
"2018/11/08 4:39:28 PM MEZ","Einzelne Tage","","","4","3","Teils, teils","50 bis 75","Grammatiken;Reguläre Ausdrücke;Automaten","Das formelle hinschreiben.","",""
"2018/11/08 4:39:33 PM MEZ","Ja","","","2","1","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Mengenbeweise;Induktion","Beweise - Wie zum fick beweise ich wirkliche Problemstellungen","",""
"2018/11/08 4:39:36 PM MEZ","Nein","Kein Interesse schon vor Semesterstart früh morgens zur Uni zu kommen","Nein oder eher nein","5","","Teils, teils","50 bis 75","","","",""
"2018/11/08 4:39:46 PM MEZ","Ja","","","3","1","Ja, gewissenhaft","75 bis 100","Mengenbeweise;Automaten","","",""
"2018/11/08 4:39:51 PM MEZ","Nein","schlechte uhrzeit","Ja oder eher ja","4","","Nein, zu schwierig","25 bis 50","","fast alle","",""
"2018/11/08 4:39:53 PM MEZ","Ja","","","2","3","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken;Mengenbeweise;Induktion","Beweise","Beweise",""
"2018/11/08 4:39:57 PM MEZ","Ja","","Nein oder eher nein","3","1","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Mengenbeweise;Induktion","Beweise","",""
"2018/11/08 4:39:59 PM MEZ","Ja","","","5","4","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Mengenbeweise","Beweise","",""
"2018/11/08 4:39:59 PM MEZ","Ja","","","2","2","Teils, teils","50 bis 75","Beweistechniken","Unterschied zwischen Grammatik und Sprache ","",""
"2018/11/08 4:39:59 PM MEZ","Ja","","","3","1","Teils, teils","50 bis 75","Einführung formale Sprachen;Mengen;Beweistechniken;Induktion;Grammatiken;Automaten","","Alles von dem ganzen Semester 😁","Gute Arbeit, nächstes Jahr noch einen Vorkurs 😁"
"2018/11/08 4:40:00 PM MEZ","Ja","","","5","6","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Induktion;Automaten","","Beweise",""
"2018/11/08 4:40:08 PM MEZ","Nein","Keine Zeit","Ja oder eher ja","3","","Teils, teils","50 bis 75","","Induktion ","",""
"2018/11/08 4:40:09 PM MEZ","Nein","Thermine (mehrmals Zahnarzt) ","Ja oder eher ja","4","","Teils, teils","50 bis 75","","Beweise","",""
"2018/11/08 4:40:11 PM MEZ","Ja","","","2","1","Ja, gewissenhaft","75 bis 100","Beweistechniken;Reguläre Ausdrücke;Automaten","Beweise","NEA",""
"2018/11/08 4:40:20 PM MEZ","Ja","","","1","2","Nein, keine Zeit","0 bis 25","Beweistechniken;Mengenbeweise;Induktion","","",""
"2018/11/08 4:40:21 PM MEZ","Nein","Faulheit","Nein oder eher nein","1","","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","","","",""
"2018/11/08 4:40:27 PM MEZ","Ja","","","2","2","Nein, zu schwierig","50 bis 75","Einführung formale Sprachen","Bearbeitung der Aufgaben, obwohl Inhalte der Vorlesung recht gut Verstanden","",""
"2018/11/08 4:40:28 PM MEZ","Einzelne Tage","Hatte nicht an allen zeit","Ja oder eher ja","2","1","Ja, gewissenhaft","75 bis 100","Beweistechniken;Induktion","Beweise?!","Hertrampf MEMES","Ich mag Käse"
"2018/11/08 4:40:31 PM MEZ","Nein","Konnte nicht","Ja oder eher ja","6","","Nein, zu schwierig","0 bis 25","","Meisre sachen","","Schweer"
"2018/11/08 4:40:32 PM MEZ","Ja","","","5","3","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Induktion;Grammatiken","","",""
"2018/11/08 4:40:36 PM MEZ","Nein","Nicht für msv empfohlen ","Ja oder eher ja","2","","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Mengen;Beweistechniken;Mengenbeweise","","",""
"2018/11/08 4:40:38 PM MEZ","Ja","","","3","2","Teils, teils","75 bis 100","Induktion;Automaten","","syntaxbäume",""
"2018/11/08 4:40:46 PM MEZ","Nein","","Ja oder eher ja","2","","Ja, gewissenhaft","75 bis 100","","","",""
"2018/11/08 4:40:52 PM MEZ","Nein","Wusste nicht dass es einen gibt ","Ja oder eher ja","5","6","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","","","",""
"2018/11/08 4:40:54 PM MEZ","Nein","","Ja oder eher ja","4","","Ja, gewissenhaft","50 bis 75","","","",""
"2018/11/08 4:40:55 PM MEZ","Nein","","Ja oder eher ja","3","","Ja, aber ich gebe die Blätter nicht ab","25 bis 50","","","",""
"2018/11/08 4:40:58 PM MEZ","Ja","","","2","1","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Induktion;Automaten","Automaten","",""
"2018/11/08 4:41:11 PM MEZ","Einzelne Tage","War krank ","Ja oder eher ja","5","3","Teils, teils","75 bis 100","Beweistechniken;Grammatiken","Automaten Beweise","","Gute Arbeit!"
"2018/11/08 4:41:16 PM MEZ","Ja","","","3","4","Ja, aber ich gebe die Blätter nicht ab","25 bis 50","Beweistechniken;Induktion;Grammatiken","Grammatiken","Mehrdeutige Grammatiken",""
"2018/11/08 4:41:20 PM MEZ","Nein","War noch beim Umziehen, hatte gar nicht die Möglichkeit. ","Ja oder eher ja","2","6","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken","","",""
"2018/11/08 4:41:21 PM MEZ","Ja","","","4","2","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken;Induktion","Warum die Beweise Beweise sind und wie man darauf kommt ","",""
"2018/11/08 4:41:24 PM MEZ","Ja","","","2","1","Ja, gewissenhaft","50 bis 75","Beweistechniken","Delta Dach","",""
"2018/11/08 4:41:24 PM MEZ","Ja","","","2","1","Teils, teils","75 bis 100","Beweistechniken;Mengenbeweise","Beweisen","",""
"2018/11/08 4:41:52 PM MEZ","Ja","","","2","1","Ja, gewissenhaft","50 bis 75","Grammatiken;Reguläre Ausdrücke","","",""
"2018/11/08 4:42:09 PM MEZ","Ja","","","2","1","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken;Induktion","Beweistechniken","Hertrampf Maimais",""
"2018/11/08 4:42:19 PM MEZ","Nein","","Ja oder eher ja","4","2","Ja, gewissenhaft","75 bis 100","Einführung formale Sprachen;Mengen;Beweistechniken;Mengenbeweise;Induktion;Grammatiken;Reguläre Ausdrücke;Automaten","Beweistechniken, Induktion,","",""
"2018/11/08 4:42:26 PM MEZ","Einzelne Tage","","","5","5","Nein, zu schwierig","75 bis 100","Beweistechniken;Mengenbeweise;Induktion;Reguläre Ausdrücke","Beweise","",""
"2018/11/08 4:42:55 PM MEZ","Ja","","","1","1","Ja, gewissenhaft","75 bis 100","Reguläre Ausdrücke","keine","",""
"2018/11/08 4:43:02 PM MEZ","Ja","","","4","4","Teils, teils","25 bis 50","Beweistechniken;Grammatiken;Reguläre Ausdrücke","","",""
"2018/11/08 4:43:06 PM MEZ","Ja","","","2","1","Teils, teils","50 bis 75","Einführung formale Sprachen;Beweistechniken","","Das Wortproblem ",""
"2018/11/08 4:43:39 PM MEZ","Nein","","","4","","Nein, keine Lust","25 bis 50","","","",""
"2018/11/08 4:43:57 PM MEZ","Ja","","","4","4","Teils, teils","50 bis 75","Einführung formale Sprachen;Beweistechniken;Mengenbeweise;Induktion","Die formale Sprache","Mehr formale Sprache","Der Vorkurs war im vergleich zu der Vorlesung sehr verständlich aber auch viel zu einfach"
"2018/11/08 4:44:51 PM MEZ","Nein","Hab noch nicht in BW gewohnt als der Kurs begonnen hat","Ja oder eher ja","5","6","Ich versuche sie zu machen wenn ich Zeit habe aber sie sind sehr schwer und ohne lösungszettel kann man seine Ergebnisse nicht überprüfen was total dumm ist","75 bis 100","Beweistechniken;Mengenbeweise;Induktion;Grammatiken","Beweise","Grammatiken / Beweise ",""
"2018/11/08 4:46:43 PM MEZ","Nein","Habe gearbeitet","Ja oder eher ja","5","","Teils, teils","75 bis 100","","Alles","-","Hit or miss i guess they never miss huh, you´ve got a boyfriend i bet he doesnt kiss ya. He gon find another girl and he wont miss ya, he gon skrrt and hit the dab like wiz khalifa"
"2018/11/08 4:47:33 PM MEZ","Nein","Kein Bock","Nein oder eher nein","6","6","Es gibt Übungsblätter?","0 bis 25","Was labasch du","Die Brille vom Prof","","Zuppa Vorlesung"
"2018/11/08 4:49:05 PM MEZ","Einzelne Tage","","Ja oder eher ja","4","5","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Mengenbeweise;Induktion","Mengenbeweise, Ausdrucksweise auf den übungsblättern","",""
"2018/11/08 4:51:05 PM MEZ","Ja","","","3","2","Teils, teils","25 bis 50","Beweistechniken;Induktion","Beweisen ","",""
"2018/11/08 4:51:44 PM MEZ","Einzelne Tage","","","3","4","Teils, teils","50 bis 75","Beweistechniken","Beweise","",""
"2018/11/08 5:02:09 PM MEZ","Ja","","","6","5","Teils, teils","50 bis 75","Beweistechniken;Mengenbeweise;Induktion","Induktion","",""
"2018/11/08 5:24:52 PM MEZ","Einzelne Tage","","","5","4","Teils, teils","25 bis 50","Grammatiken;Reguläre Ausdrücke;Automaten","","",""
"2018/11/08 5:25:05 PM MEZ","Ja","","","3","1","Nein, keine Zeit","75 bis 100","Grammatiken;Automaten","Produktionsregeln selbst herausfinden, Automaten selbst zeichnen aus Sprache mit modulo z.B.","",""
"2018/11/08 5:26:13 PM MEZ","Ja","","","2","1","Nein, keine Zeit","75 bis 100","Beweistechniken;Mengenbeweise;Induktion;Grammatiken","","",""
"2018/11/08 5:27:57 PM MEZ","Ja","","","5","1","Teils, teils","50 bis 75","Beweistechniken;Wie man so krass wie Fabian Grote wird #noJoke","beweisen","beweisen",""
"2018/11/08 5:29:06 PM MEZ","Ja","","","2","1","Ja, mehr oder weniger gewissenhaft, da ich teilweise alleine wenig mit den Aufgaben anfangen kann","75 bis 100","War so gut wie es war, vielleicht bisschen weniger Mathe","Eher weniger Themen aus der Vorlesung, sondern die praktische Anwendung in den Übungsblättern","",""
"2018/11/08 5:29:27 PM MEZ","Ja","","","3","4","Nein, zu schwierig","25 bis 50","Beweistechniken;Mengenbeweise;Grammatiken","Beweise","",""
"2018/11/08 5:30:47 PM MEZ","Ja","","","4","3","Ja, zu schwierig.","25 bis 50","Einführung formale Sprachen;Mengen;Grammatiken;Zahlenkörper (Monoide, Gruppen)","Beweis Exponentieller Blow-Up","",""
"2018/11/08 5:47:13 PM MEZ","Ja","","","4","2","Teils, teils","50 bis 75","Beweistechniken;Mengenbeweise;Induktion;Grammatiken;Reguläre Ausdrücke;Automaten","Beweise","",""
"2018/11/08 5:52:50 PM MEZ","Ja","","","1","1","Ja, gewissenhaft","75 bis 100","","","",""
"2018/11/08 6:08:03 PM MEZ","Ja","","","3","2","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Automaten","Beschreiben von automaten mit Rechnungen","Vlt. Pumping Lemma ","Brokoli is love, Brokoli is life"
"2018/11/08 6:24:13 PM MEZ","Ja","","","3","2","Teils, teils","50 bis 75","Beweistechniken;Mengenbeweise","Alles mit Beweisen","",""
"2018/11/08 6:25:14 PM MEZ","Einzelne Tage","","","3","3","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Beweistechniken;Reguläre Ausdrücke","Beweise erstellen","",""
"2018/11/08 6:26:55 PM MEZ","Nein","Keine Zeit","Ja oder eher ja","5","","Teils, teils","50 bis 75","Beweistechniken;Grammatiken;Automaten","","",""
"2018/11/08 6:27:01 PM MEZ","Ja","","","5","4","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Einführung formale Sprachen;Induktion;Grammatiken;Automaten","Grammatik","",""
"2018/11/08 6:29:33 PM MEZ","Nein","Keine Zeit","Ja oder eher ja","6","","Nein, zu schwierig","0 bis 25","","Alles","","RIP Theo"
"2018/11/08 6:30:51 PM MEZ","Ja","","","2","2","Teils, teils","50 bis 75","","","",""
"2018/11/08 6:36:04 PM MEZ","Nein","Ich habe nur den Mathe Vorkurs zeitlich unterbringen können.","Ja oder eher ja","2","6","Ja, gewissenhaft","75 bis 100","","","",""
"2018/11/08 7:20:12 PM MEZ","Nein","Faul","Ja oder eher ja","2","3","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Beweistechniken","Beweisen aber nicht die Induktion ","-","Begriffe/Definitionen sind das A und O, manche Folien am Anfang werden erst klarer nachdem man manche Themen wie relationen in Mathe behandelt hat"
"2018/11/08 7:23:32 PM MEZ","Ja","","","2","2","Ja, gewissenhaft","75 bis 100","Beweistechniken","Beweisen","","Können die Vorlesungen aufgenommen werden?"
"2018/11/08 7:24:16 PM MEZ","Ja","","","3","2","Ja, aber ich gebe die Blätter nicht ab","50 bis 75","Reguläre Ausdrücke;Automaten","Beweise","",""
"2018/11/08 8:08:29 PM MEZ","Ja","","","2","1","Teils, teils","75 bis 100","Beweistechniken;Mengenbeweise;Induktion","","",""
"2018/11/08 8:12:40 PM MEZ","Einzelne Tage","","Nein oder eher nein","2","4","Teils, teils","50 bis 75","Grammatiken;Automaten","","",""
"2018/11/08 8:12:48 PM MEZ","Einzelne Tage","","Nein oder eher nein","2","4","Teils, teils","50 bis 75","Grammatiken;Automaten","","",""
"2018/11/08 8:45:36 PM MEZ","Ja","","","3","2","Ja, gewissenhaft","50 bis 75","Beweistechniken;Induktion;Reguläre Ausdrücke;Chomsky-Hierarche inklusive „Wie erkenne ich, welche Grammatik von welchem Typ ist?“","Wortproblem und zugehöriger Algorithmus. Prinzipiell habe ich Schwierigkeiten mit dem tieferen Verständnis der meisten Inhalte.","",""
"2018/11/08 8:51:56 PM MEZ","Nein","Dachte er ist eine Woche später und habs verpennt ","Ja oder eher ja","6","","Teils, teils","0 bis 25","","Alle außer den Organisatorischen ","",""
"2018/11/08 9:07:03 PM MEZ","Einzelne Tage","Ich hatte leider nicht immer Zeit","Ja oder eher ja","3","2","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Grammatiken;Reguläre Ausdrücke;Automaten","Entscheidbarkeit","",""
"2018/11/08 10:50:20 PM MEZ","Einzelne Tage","","Ja oder eher ja","3","1","Ja, aber ich gebe die Blätter nicht ab","75 bis 100","Mengen;Beweistechniken;Mengenbeweise","Beweisen alles mit Beweisen sowohl Mathe als auch Theo ","Beweise das ist das Wichtigste an der Uni hab ich so das Gefühl ",""
"2018/11/08 11:13:27 PM MEZ","Ja","","","3","2","Teils, teils","50 bis 75","Mengenbeweise","Beweise, ob eine Grammatik die Sprache beschreibt.","Chomsky Hierarchie ",""
"2018/11/09 11:25:12 AM MEZ","Ja","","","5","2","Teils, teils","75 bis 100","Beweistechniken;Mengenbeweise;Induktion","Beweise","Bei Automaten die Delta-Dach Funktion","Wenn viele die gleichen Fragen haben, dann sollte man diese nicht einzeln beantworten, sondern zusammen an der Tafel klären. Dadurch geht viel Zeit verloren"
"2018/11/09 12:51:28 PM MEZ","Ja","","","3","1","Teils, teils","75 bis 100","Beweistechniken;Mengenbeweise;Automaten","Beweise und formale Schreibweise","Erst ein paar vorgerechnete Beispiele und dann erst die Aufgaben zum selber machen.","Klasse Vorkurs!"
"2018/11/09 12:56:09 PM MEZ","Nein","","Nein oder eher nein","4","","Teils, teils","50 bis 75","","","",""
"2018/11/09 1:31:16 PM MEZ","Ja","","","2","1","Ja, gewissenhaft","75 bis 100","Beweistechniken;Induktion","","",""
"2018/11/10 12:16:14 PM MEZ","Ja","","","3","2","Teils, teils","75 bis 100","Beweistechniken","delta dach, Beweise","Beweisübung, da Beweise mittlerweile nicht mehr Teil des Schulunterrichts sind und für Theo/Mathe unerlässlich sind",""
"2018/11/10 3:06:08 PM MEZ","Ja","","","3","2","Ja, gewissenhaft","75 bis 100","Mengenbeweise","","",""
"2018/11/12 9:19:34 AM MEZ","Ja","","","3","1","Ja, gewissenhaft","75 bis 100","","Wortproblem","Wortproblem",""
"2018/11/12 11:44:35 AM MEZ","Ja","","","4","5","Ja, gewissenhaft","50 bis 75","Beweistechniken","Beweise","",""
"2018/11/13 7:30:42 PM MEZ","Ja","","","2","2","Ja, gewissenhaft","75 bis 100","Beweistechniken;Induktion","Beweise","","Hab euch Lieb "